month,hot_tub,pool,month,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
2022-12,0,0,2019-2,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,28.5,1.0,581.2137443249999,8.45,1.4
2022-12,0,0,2019-3,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,3.043478261,1.347826087
2022-12,1,0,2019-4,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,1.0,569.9473429,2.636363636,1.363636364
2022-12,0,0,2019-5,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,1.851851852,1.148148148
2022-12,0,0,2019-6,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,0.966666667,581.2137443249999,1.75,1.208333333
2022-12,1,0,2019-7,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,1.75,1.107142857
2022-12,1,0,2019-8,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,0.935483871,581.2137443249999,1.75,1.208333333
2022-12,1,0,2019-9,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,1.0,581.2137443249999,1.928571429,1.071428571
2022-12,0,0,2019-1,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-10,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,1,2019-2,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,1,2019-3,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-5,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-6,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-7,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-8,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-9,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-1,Big Bear Lake,Single Owners,4.0,2.0,10.0,12699.394811324999,31.0,0.548387097,581.2137443249999,23.16666667,3.0
2022-12,1,1,2019-10,Big Bear Lake,Single Owners,4.0,2.0,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-11,Big Bear Lake,Single Owners,4.0,2.0,10.0,746.9100037,30.0,0.1,248.9700012,61.420509736902886,3.0
2022-12,0,0,2019-12,Big Bear Lake,Single Owners,4.0,2.0,10.0,248.9700012,28.5,0.04,248.9700012,61.420509736902886,1.0
2022-12,1,0,2019-2,Big Bear Lake,Single Owners,4.0,2.0,10.0,12699.394811324999,28.5,0.714285714,581.2137443249999,32.66666667,3.333333333
2022-12,1,0,2019-3,Big Bear Lake,Single Owners,4.0,2.0,10.0,2489.759949,31.0,0.193548387,414.9599915,2.5,3.0
2022-12,1,0,2019-4,Big Bear Lake,Single Owners,4.0,2.0,10.0,1736.820007,30.0,0.1,578.9400024,38.0,3.0
2022-12,0,0,2019-5,Big Bear Lake,Single Owners,4.0,2.0,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-6,Big Bear Lake,Single Owners,4.0,2.0,10.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-7,Big Bear Lake,Single Owners,4.0,2.0,10.0,2074.799957,31.0,0.161290323,414.9599915,61.420509736902886,5.0
2022-12,1,0,2019-8,Big Bear Lake,Single Owners,4.0,2.0,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-9,Big Bear Lake,Single Owners,4.0,2.0,10.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-1,Big Bear City,Single Owners,5.0,4.5,14.5,12141.85986,31.0,0.258064516,581.2137443249999,61.420509736902886,2.666666667
2022-12,0,0,2019-2,Big Bear City,Single Owners,5.0,4.5,14.5,8993.159912,28.5,0.214285714,581.2137443249999,61.420509736902886,3.0
2022-12,0,0,2019-3,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-4,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-6,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-7,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-8,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-9,Big Bear City,Single Owners,5.0,4.5,14.5,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-5,Big Bear City,Professionals,3.0,2.0,8.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
